category,material,material_cost,labour_cost,size,weight,market_min,market_avg,market_max,demand_score,price
Handloom Saree,Terracotta,1076,449,11.42,0.17,262.79,331,415.89,0.3,2234.56
Handmade Jewellery,Terracotta,704,290,48.92,2.57,2189.86,2661,3336.97,0.35,3181.27
Pottery,Brass,529,1030,41.6,4.05,854.7,1089,1290.01,0.52,3228.03
Cane Furniture,Terracotta,1257,366,13.49,2.55,2364.54,2949,3594.45,0.49,4187.53
Wooden Craft,Beads,73,880,12.36,1.12,3652.35,3988,4452.94,0.22,3600.74
Jute Bag,Cane,735,359,36.88,0.78,139.63,156,200.92,0.49,1875.58
Terracotta,Bamboo,275,682,42.6,3.09,2885.95,3754,4057.73,0.54,3858.18
Jute Bag,Clay,479,994,19.67,4.26,1619.13,1973,2445.0,0.82,3459.36
Cane Furniture,Beads,399,979,35.68,1.82,2072.09,2516,2959.93,0.7,3556.31
Metal Craft,Cane,128,595,39.5,2.03,3029.76,3669,4384.75,0.8,3585.68
Wooden Craft,Silk,666,1158,13.74,4.83,2907.68,3198,3531.08,0.92,4898.65
Metal Craft,Brass,280,927,53.71,1.62,2192.02,2887,3691.29,0.28,3528.93
Jute Bag,Brass,1346,404,44.84,3.99,689.89,758,938.72,0.88,3181.58
Handloom Saree,Wood,1003,845,17.31,2.83,1315.43,1473,1617.33,0.71,3453.48
Metal Craft,Beads,368,1161,52.89,0.73,1042.95,1374,1603.37,0.54,3177.1
Embroidered Cloth,Jute,396,583,36.08,1.16,3125.2,3366,4370.62,0.98,3570.78
Embroidered Cloth,Cotton,702,556,54.89,1.94,384.55,438,494.53,0.56,2368.24
Pottery,Cotton,664,325,42.23,0.8,1218.04,1303,1401.25,0.38,2252.56
Jute Bag,Brass,1204,88,51.35,3.66,2045.36,2243,2646.88,0.23,3330.96
Terracotta,Cotton,256,164,15.96,4.15,932.43,1221,1461.29,0.68,1553.3
Wooden Craft,Terracotta,626,1169,54.01,0.4,533.44,606,703.08,0.52,3115.48
Terracotta,Cotton,501,158,18.87,4.92,2311.64,2788,3585.9,0.86,2950.14
Metal Craft,Beads,80,457,32.88,3.5,3367.94,3881,4734.13,0.44,3357.1
Handmade Jewellery,Terracotta,1382,648,48.23,0.17,228.61,284,361.25,0.36,3222.3
Terracotta,Clay,225,429,53.39,3.88,2804.63,2961,3660.49,0.89,3058.57
Jute Bag,Jute,1184,668,56.86,3.4,1388.94,1836,2092.63,0.88,3941.26
Cane Furniture,Beads,193,668,8.4,3.11,2830.81,3527,4442.66,0.36,3154.06
Terracotta,Silk,962,217,18.24,4.81,1762.14,2316,2520.17,0.54,3170.66
Bamboo Basket,Brass,1255,609,11.91,3.55,2718.68,3365,4130.12,0.67,4747.12
Cane Furniture,Jute,217,159,53.18,3.24,414.49,446,535.19,0.76,1388.72
Pottery,Brass,310,429,21.8,0.78,2239.27,2966,3176.21,0.82,2954.3
Cane Furniture,Bamboo,880,599,40.61,3.82,2265.94,2906,3606.35,0.71,4141.24
Pottery,Cotton,1393,458,8.74,1.13,1005.81,1199,1518.93,0.5,3376.76
Terracotta,Cane,1339,548,26.3,0.13,653.57,848,916.17,0.76,3149.44
Metal Craft,Cotton,1315,551,55.92,1.09,655.01,747,794.12,0.98,3433.59
Bamboo Basket,Jute,391,1074,41.33,1.89,2512.26,2659,3336.66,0.26,3911.9
Handloom Saree,Jute,1136,617,9.08,2.19,3277.11,3634,4108.77,0.4,4429.29
Wooden Craft,Beads,641,1067,42.85,1.79,1515.98,1746,2252.86,0.47,3718.91
Metal Craft,Cane,342,525,52.34,2.14,1978.73,2184,2650.23,0.54,2803.1
Pottery,Clay,941,848,52.17,4.05,2546.5,3149,3844.41,0.9,4632.5
Wooden Craft,Brass,1130,889,30.12,0.83,2026.48,2401,2715.97,0.31,4253.93
Cane Furniture,Jute,1291,666,45.36,2.4,2583.75,2864,3480.6,0.6,4474.69
Handmade Jewellery,Clay,1074,1163,34.85,4.27,2702.31,3337,3680.31,0.96,5315.47
Cane Furniture,Silk,762,800,51.59,4.69,1704.47,2095,2708.0,0.9,3753.21
Bamboo Basket,Bamboo,1436,1091,50.48,4.33,1473.11,1714,1948.44,0.87,4748.13
Cane Furniture,Bamboo,1029,1083,9.05,1.82,3124.4,3978,4847.06,0.49,5221.02
Pottery,Bamboo,304,1011,51.36,0.2,531.72,627,670.29,0.86,2717.48
Handloom Saree,Brass,435,991,13.95,0.44,1985.3,2110,2664.94,0.88,3502.61
Wooden Craft,Jute,710,281,21.83,3.9,1818.17,1981,2314.77,0.77,2827.41
Jute Bag,Brass,1255,605,33.73,3.25,1462.29,1685,1898.02,0.31,3570.94
Jute Bag,Brass,1163,1098,9.83,2.35,1371.7,1745,1895.79,0.58,4099.75
Terracotta,Bamboo,1083,292,48.24,1.69,370.63,459,543.95,0.91,2510.67
Handmade Jewellery,Jute,1232,630,51.35,1.4,2879.45,3779,4815.48,0.63,5011.71
Bamboo Basket,Clay,1497,535,48.76,3.41,1562.28,1782,2051.47,0.57,4004.92
Wooden Craft,Jute,446,174,56.27,1.03,1391.25,1569,1961.41,0.35,2104.26
Cane Furniture,Beads,179,450,20.87,2.32,1210.94,1286,1636.71,1.0,1956.28
Handloom Saree,Beads,449,405,12.43,1.57,2025.46,2134,2650.23,0.75,2608.9
Cane Furniture,Wood,149,52,34.56,3.77,2847.75,3750,4200.61,0.49,2651.52
Handmade Jewellery,Cotton,458,1154,33.46,2.04,2529.42,3212,3776.61,0.79,4555.47
Bamboo Basket,Brass,499,391,22.39,0.32,2802.67,3158,3648.99,0.94,3249.13
Wooden Craft,Wood,1402,436,44.38,1.19,2300.78,2690,2963.39,0.2,4107.48
Jute Bag,Silk,135,345,40.1,3.67,263.08,310,386.56,0.6,1235.21
Bamboo Basket,Silk,422,355,42.08,3.27,924.77,1131,1452.4,0.25,1969.4
Wooden Craft,Cane,399,775,49.94,1.86,564.03,681,848.19,0.35,2334.87
Embroidered Cloth,Silk,690,911,27.8,0.15,558.89,738,933.07,0.62,2867.64
Terracotta,Clay,1453,436,53.53,3.35,1653.76,1942,2354.04,0.65,4100.88
Metal Craft,Bamboo,1291,1129,34.29,0.2,1452.44,1692,1885.66,0.41,4284.82
Metal Craft,Brass,1259,932,18.7,2.91,2199.92,2907,3594.15,0.55,4673.62
Embroidered Cloth,Wood,407,637,29.35,1.98,2923.65,3257,3692.33,0.93,3606.25
Handmade Jewellery,Bamboo,697,950,9.83,3.34,2958.67,3859,4312.97,0.86,4704.48
Handmade Jewellery,Terracotta,1103,955,5.44,4.18,3064.09,3412,3824.17,0.66,5049.98
Jute Bag,Terracotta,1273,845,14.17,4.23,2254.06,2698,2898.43,0.8,4637.11
Terracotta,Clay,1337,317,54.49,3.54,1622.71,2091,2645.49,0.73,3827.79
Metal Craft,Terracotta,369,790,35.34,2.53,477.61,566,699.39,1.0,2462.77
Cane Furniture,Terracotta,1148,623,23.82,1.67,2931.42,3854,4778.24,0.85,4913.46
Handmade Jewellery,Wood,835,584,57.76,4.9,2624.98,2819,3660.29,0.54,3884.73
Pottery,Wood,449,758,8.93,3.74,1070.89,1335,1533.6,0.87,2682.48
Cane Furniture,Bamboo,836,782,41.27,4.55,2530.51,2849,3392.83,0.32,4015.8
Handmade Jewellery,Clay,313,517,48.03,0.92,1274.33,1360,1497.79,0.95,2396.21
Cane Furniture,Silk,1227,968,37.01,1.66,751.29,983,1251.41,0.34,3586.38
Metal Craft,Bamboo,1091,968,7.24,0.17,1225.53,1599,1935.41,0.84,3732.2
Cane Furniture,Cotton,961,865,49.21,3.55,1019.1,1239,1512.7,0.29,3364.52
Pottery,Jute,1321,659,13.29,3.2,1478.64,1847,2176.14,0.75,3939.14
Pottery,Cotton,892,94,30.28,2.9,3612.11,3936,4846.14,0.4,3648.02
Metal Craft,Bamboo,1032,254,7.92,0.39,2302.39,2450,2723.68,0.6,3281.24
Embroidered Cloth,Brass,1216,246,19.67,2.43,1077.8,1365,1576.12,0.43,2899.89
Handmade Jewellery,Beads,86,871,43.96,2.38,3270.28,3861,4402.53,0.58,3690.51
Bamboo Basket,Brass,981,894,23.2,3.53,3570.94,3856,4968.5,0.66,4984.27
Handloom Saree,Jute,796,676,30.91,0.83,1957.55,2125,2620.08,0.37,3496.56
Bamboo Basket,Terracotta,295,300,40.72,2.44,2387.47,2912,3279.14,0.71,2937.9
Terracotta,Cane,179,301,32.2,1.68,3337.58,3651,4178.38,0.85,3054.44
Terracotta,Cane,1014,780,37.87,2.59,2592.08,3260,3910.41,0.3,4455.66
Wooden Craft,Cotton,723,186,50.51,0.59,3032.74,3745,4455.58,0.4,3592.55
Cane Furniture,Clay,644,703,25.33,1.89,3001.89,3988,5122.4,0.56,4321.86
Handloom Saree,Bamboo,229,1144,21.3,1.8,1932.99,2336,2799.63,0.29,3389.42
Handloom Saree,Bamboo,736,650,26.3,4.84,3180.43,3620,4355.22,0.33,4128.3
Jute Bag,Clay,1099,1137,32.12,1.33,1070.76,1304,1393.44,0.89,4108.56
Handmade Jewellery,Cotton,100,447,46.21,2.65,582.0,679,826.82,0.47,1442.76
Pottery,Terracotta,525,633,34.72,2.09,1581.06,1692,2041.71,0.85,3011.79
Handloom Saree,Cane,228,937,43.53,0.37,2423.86,2754,3423.81,0.69,3543.56
Cane Furniture,Clay,709,296,15.19,4.55,1182.42,1493,1720.19,0.79,2536.51
Jute Bag,Silk,1058,704,40.19,2.2,3216.17,3459,3650.74,0.92,4741.56
Wooden Craft,Silk,1067,506,36.48,0.58,782.21,829,1061.23,0.49,2763.5
Metal Craft,Terracotta,1380,984,27.2,3.32,1938.58,2368,2604.1,0.61,4786.57
Metal Craft,Silk,535,384,36.73,0.48,1549.39,1907,2311.02,0.41,2635.06
Jute Bag,Beads,1159,793,44.68,1.38,244.82,288,334.97,0.82,3163.1
Embroidered Cloth,Terracotta,1142,803,59.39,2.99,515.13,584,758.87,0.32,3262.8
Jute Bag,Bamboo,618,226,37.8,4.7,1243.52,1410,1748.33,0.35,2201.92
Wooden Craft,Terracotta,880,498,53.06,4.05,459.93,576,709.96,0.35,2444.36
Cane Furniture,Brass,252,1017,23.94,0.76,1314.31,1551,1995.88,0.62,2942.41
Jute Bag,Silk,269,1081,42.72,3.12,1118.53,1195,1386.87,0.24,2739.7
Embroidered Cloth,Clay,841,486,6.26,4.61,641.62,730,887.73,0.73,2683.95
Handloom Saree,Cotton,1267,127,42.12,3.47,3611.54,3836,4441.7,0.34,4264.51
Bamboo Basket,Cane,385,952,49.44,3.31,1032.26,1215,1462.75,0.97,3145.3
Metal Craft,Clay,66,992,17.42,2.54,2157.03,2837,3206.67,0.7,3313.64
Metal Craft,Jute,90,721,43.74,2.9,3097.89,3667,4674.17,0.84,3626.46
Terracotta,Brass,74,645,45.83,2.57,220.94,257,323.83,0.92,1676.98
Wooden Craft,Jute,808,217,45.19,0.22,2272.07,2728,3011.14,0.89,3206.96
Metal Craft,Jute,291,840,50.57,1.64,2086.7,2589,2875.16,0.21,3373.32
Bamboo Basket,Beads,1305,1041,28.17,1.52,1736.83,1852,2066.28,0.52,4303.96
Handloom Saree,Terracotta,1126,903,22.14,2.84,1908.33,2241,2502.71,0.26,4091.92
Cane Furniture,Beads,386,749,19.47,1.9,2226.0,2461,3187.02,0.31,3050.98
Embroidered Cloth,Terracotta,83,944,22.65,2.06,970.98,1219,1580.19,0.87,2631.41
Embroidered Cloth,Terracotta,786,647,18.3,0.51,1310.96,1563,1888.17,0.64,2975.35
Bamboo Basket,Cane,757,552,59.99,2.09,285.0,311,365.49,0.33,2378.72
Pottery,Jute,318,785,19.02,4.96,770.58,914,1139.54,0.28,2225.08
Bamboo Basket,Jute,791,1087,36.81,3.28,1641.82,1981,2558.52,0.27,3973.08
Cane Furniture,Wood,768,791,17.58,1.48,2817.74,3043,3816.87,0.91,4104.47
Metal Craft,Jute,1042,239,20.15,2.69,709.7,864,921.85,0.39,2569.67
Handloom Saree,Jute,1395,1188,55.56,2.24,739.81,941,994.84,0.61,4340.01
Cane Furniture,Brass,1214,1009,53.68,1.02,787.88,892,990.44,0.62,4011.12
Metal Craft,Silk,322,1143,11.45,0.81,2176.29,2431,3112.3,0.73,3556.16
Embroidered Cloth,Wood,455,1194,55.09,1.16,2551.09,2994,3518.05,0.86,4346.42
Wooden Craft,Brass,761,283,42.93,1.33,920.46,1195,1319.44,0.54,2332.93
Handloom Saree,Clay,112,206,11.72,3.43,2839.02,3204,4047.71,0.43,2507.28
Jute Bag,Silk,1329,870,33.16,4.98,129.0,153,170.62,0.57,3348.22
Handloom Saree,Jute,1360,797,25.66,2.89,539.63,650,724.33,0.71,3597.31
Embroidered Cloth,Jute,55,254,14.46,2.77,2051.68,2242,2582.21,0.75,1962.7
Cane Furniture,Jute,1370,663,44.53,1.93,3236.3,3900,5010.7,0.74,5091.2
Pottery,Terracotta,394,1100,42.63,3.16,1223.92,1382,1716.29,0.58,3269.86
Jute Bag,Wood,1383,1073,16.29,3.4,1446.19,1650,2139.18,0.47,4373.86
Embroidered Cloth,Clay,232,284,53.72,3.31,2457.72,3206,3776.8,0.46,2981.1
Wooden Craft,Beads,1406,662,42.31,1.72,444.88,470,561.16,0.98,3334.58
Wooden Craft,Clay,776,1003,45.04,4.44,188.82,219,233.44,0.75,3077.89
Cane Furniture,Wood,256,627,36.44,3.92,1875.38,2303,2741.26,0.41,2719.94
Cane Furniture,Cotton,1175,586,49.23,4.63,762.64,823,1065.14,0.86,3319.94
Handloom Saree,Beads,896,147,54.62,4.94,1902.71,2369,2882.7,0.94,3233.56
Metal Craft,Clay,688,134,7.64,4.37,2871.66,3673,3999.5,0.29,3123.8
Pottery,Brass,219,615,26.85,2.46,2515.81,3267,3921.97,0.72,3111.68
Jute Bag,Jute,124,107,15.85,1.91,238.64,288,309.66,0.34,569.68
Bamboo Basket,Brass,1033,609,47.13,1.62,454.16,514,654.08,0.96,2849.82
Handloom Saree,Cotton,1418,379,55.47,1.44,2898.04,3791,4687.76,0.34,4657.6
Cane Furniture,Cotton,683,218,44.56,1.57,1413.89,1558,1966.04,0.8,2434.18
Embroidered Cloth,Bamboo,181,259,24.22,0.35,1419.98,1671,1852.24,0.38,1708.16
Metal Craft,Wood,1066,224,57.9,4.32,698.59,894,1031.39,0.44,2608.67
Wooden Craft,Brass,1264,190,38.81,1.95,673.89,825,910.06,0.69,2598.31
Bamboo Basket,Wood,1430,610,23.88,0.98,1111.84,1340,1427.04,0.48,3834.44
Bamboo Basket,Bamboo,403,935,46.55,1.83,181.79,196,237.47,0.85,2552.22
Metal Craft,Beads,1489,1097,52.85,0.29,809.21,1062,1244.56,0.33,4314.63
Wooden Craft,Brass,517,355,27.66,1.24,2005.24,2646,2843.57,0.28,2753.95
Handmade Jewellery,Cane,594,922,8.84,2.48,1200.36,1370,1516.43,0.63,3008.75
Handmade Jewellery,Wood,1180,930,8.23,0.73,1726.7,2028,2403.29,0.24,3918.88
Pottery,Cane,931,524,24.03,4.35,2105.16,2230,2889.35,0.62,3587.36
Embroidered Cloth,Wood,1325,416,10.43,3.42,1797.8,2173,2633.48,0.99,3874.0
Jute Bag,Bamboo,1350,850,21.4,0.35,1988.8,2463,2730.02,0.48,4459.59
Cane Furniture,Wood,321,529,10.82,4.53,1726.96,1986,2101.02,0.63,2452.73
Cane Furniture,Cotton,737,979,22.14,2.27,2158.74,2766,3291.81,0.34,4038.24
Bamboo Basket,Jute,273,863,45.15,0.98,2714.65,2921,3785.77,0.52,3491.06
Jute Bag,Silk,233,1130,9.24,1.88,1926.93,2337,2663.11,1.0,3642.0
Terracotta,Bamboo,1305,349,20.41,1.54,416.43,550,649.87,0.41,2638.13
Bamboo Basket,Jute,407,614,41.3,0.13,1092.26,1206,1406.9,0.93,2327.49
Metal Craft,Clay,185,678,57.17,4.81,778.79,973,1129.52,0.71,2236.9
Wooden Craft,Clay,1072,327,35.61,2.33,1786.37,2249,2390.15,0.81,3459.1
Handmade Jewellery,Silk,319,594,33.72,2.7,3097.1,3503,4284.64,0.31,3639.66
Handmade Jewellery,Beads,501,487,23.39,2.44,3063.03,3898,4109.35,0.33,3760.89
Embroidered Cloth,Bamboo,213,926,47.05,3.87,2002.78,2345,2898.84,0.64,3237.71
Handmade Jewellery,Bamboo,606,810,48.42,2.2,3129.88,3910,5039.58,0.59,4307.24
Jute Bag,Wood,1260,703,20.64,0.55,1381.29,1510,1664.48,0.94,3824.66
Handloom Saree,Brass,823,1066,50.72,4.2,2824.52,3379,4084.93,0.64,4902.62
Cane Furniture,Terracotta,1179,416,10.74,4.3,744.83,936,1062.08,0.69,3041.36
Metal Craft,Jute,1141,1046,36.21,4.77,161.8,181,230.21,0.37,3342.36
Wooden Craft,Clay,518,251,51.0,2.48,1481.43,1944,2093.56,0.83,2636.61
Handmade Jewellery,Cotton,220,662,30.02,4.62,2458.77,3016,3328.42,1.0,3341.41
Cane Furniture,Brass,76,1123,48.11,2.47,919.99,1139,1475.41,0.55,2634.78
Metal Craft,Beads,1464,324,36.74,0.9,1060.64,1393,1734.52,0.76,3342.81
Pottery,Silk,162,306,31.53,3.36,1506.75,1851,2093.31,0.31,2067.49
Cane Furniture,Silk,1346,247,10.07,4.99,287.39,376,474.71,0.86,2648.47
Cane Furniture,Terracotta,367,409,42.22,0.18,2516.1,3099,4021.89,0.95,3167.17
Bamboo Basket,Silk,409,1093,6.11,4.79,1409.66,1739,1934.25,0.8,3260.74
Cane Furniture,Clay,277,901,20.17,2.28,3196.89,3961,4365.33,0.66,4211.3
Terracotta,Cotton,109,155,9.23,2.37,3294.84,3804,4464.84,0.48,2801.39
Pottery,Clay,664,251,38.64,0.92,2653.15,3314,4233.58,0.58,3589.35
Embroidered Cloth,Bamboo,1366,427,37.12,3.35,3596.31,3927,4494.67,0.4,4743.36
Handloom Saree,Wood,371,299,57.98,1.01,1597.45,1862,2307.71,0.21,2363.29
Pottery,Beads,66,137,28.05,0.61,3172.39,3783,4162.22,0.67,2682.62
Handmade Jewellery,Bamboo,1379,476,37.53,3.74,345.66,400,428.87,0.4,2966.07
Cane Furniture,Terracotta,194,1132,16.29,1.83,1059.7,1273,1635.93,0.81,2952.6
Cane Furniture,Cane,445,962,27.81,4.03,2773.44,3056,3325.87,0.39,3974.5
Pottery,Bamboo,1077,462,36.95,4.15,694.89,752,870.73,0.59,2789.11
Terracotta,Silk,628,472,30.78,4.23,1164.46,1270,1544.62,0.54,2462.67
Pottery,Wood,764,884,7.45,1.41,1963.63,2604,2859.06,0.67,3831.15
Handmade Jewellery,Jute,90,419,15.35,2.66,2946.69,3424,3861.87,0.93,3039.75
Handmade Jewellery,Brass,301,389,39.25,2.8,2540.55,2828,3533.08,0.68,2981.49
Bamboo Basket,Terracotta,322,1069,18.95,2.96,2651.14,3015,3330.28,0.38,3751.41
Handmade Jewellery,Silk,490,1114,36.51,2.05,1774.67,2245,2691.29,0.49,3739.29
Terracotta,Silk,1394,1112,34.03,4.17,1147.86,1231,1335.39,0.34,4252.17
Terracotta,Wood,1475,537,18.55,3.07,3170.09,3905,5013.99,0.71,5042.3
Handmade Jewellery,Jute,1240,166,27.99,1.64,1695.06,1994,2446.5,0.81,3313.17
Metal Craft,Bamboo,1233,907,15.71,0.42,1661.89,2166,2567.13,0.89,4375.91
Handmade Jewellery,Terracotta,259,817,55.57,0.9,1423.7,1836,2282.54,0.59,2869.19
Metal Craft,Silk,169,476,26.63,4.76,1627.38,1900,2279.1,0.21,2247.07
Embroidered Cloth,Jute,1181,1199,18.45,3.34,3297.49,3659,3995.3,0.53,5508.05
Wooden Craft,Wood,1368,580,21.9,1.39,2727.14,3452,4328.3,0.62,4598.74
Pottery,Bamboo,1244,301,42.61,1.54,816.69,1058,1121.31,0.48,3108.0
Jute Bag,Silk,241,693,59.11,2.43,153.5,175,224.45,0.36,1679.21
Jute Bag,Clay,1118,988,26.41,1.28,3412.67,3797,4001.42,0.75,5239.06
Embroidered Cloth,Cane,390,746,23.42,3.29,1667.59,2070,2266.85,0.81,3193.21
Jute Bag,Bamboo,370,692,18.19,0.94,402.38,443,570.88,0.83,1861.6
Jute Bag,Clay,892,411,44.91,2.28,1712.2,2042,2226.36,0.6,3284.0
Embroidered Cloth,Beads,982,130,14.61,1.96,2640.99,2960,3554.27,0.77,3415.62
Terracotta,Cotton,204,1105,17.36,3.03,3216.68,3791,4346.98,0.44,4103.7
Handloom Saree,Beads,1448,65,57.21,3.3,2287.71,2558,2844.32,0.85,3797.29
Pottery,Wood,344,978,12.23,3.65,2286.17,2961,3785.98,0.42,3647.94
Cane Furniture,Jute,269,908,27.22,2.49,2756.05,3336,3837.08,0.6,3775.55
Metal Craft,Cane,1131,1071,18.1,0.43,1373.26,1635,1999.58,0.24,3842.52
Jute Bag,Silk,1139,505,36.65,1.78,2241.06,2482,2799.78,0.43,3765.98
Cane Furniture,Brass,818,672,35.07,1.71,2471.58,3120,3320.27,0.79,4007.42
Bamboo Basket,Silk,554,159,17.17,4.99,1420.78,1707,1995.59,0.74,2292.54
Jute Bag,Silk,1251,980,51.52,2.72,138.7,160,204.23,0.93,3604.72
Jute Bag,Clay,149,339,10.56,4.48,3146.93,3659,4408.77,0.84,3005.32
Wooden Craft,Beads,757,727,14.69,3.71,2192.89,2458,2904.33,0.82,3757.63
Terracotta,Jute,1490,910,43.84,4.01,1263.84,1502,1941.02,0.23,4291.9
Embroidered Cloth,Cotton,462,86,7.71,0.4,2683.44,3331,4045.19,0.86,2660.07
Handmade Jewellery,Beads,1198,1007,18.35,2.92,502.02,663,779.1,0.52,3429.36
Handloom Saree,Cane,407,130,39.4,2.95,1639.36,1790,2270.95,0.76,2176.35
Terracotta,Cane,1067,1152,11.04,4.08,448.45,587,695.38,0.76,3665.59
Handmade Jewellery,Terracotta,188,723,9.76,0.8,1143.51,1433,1752.52,0.78,2423.51
Handmade Jewellery,Cane,288,524,19.47,0.7,1446.8,1686,2054.03,0.55,2214.59
Embroidered Cloth,Silk,716,500,46.43,3.97,2485.67,3273,4054.68,0.5,3692.57
Bamboo Basket,Bamboo,1001,918,5.49,1.41,2180.37,2494,2773.14,0.92,4183.81
Wooden Craft,Beads,1090,417,29.05,1.1,2027.29,2347,2777.27,0.99,3584.84
Wooden Craft,Silk,909,429,47.9,4.52,1570.02,1768,1871.29,0.71,3220.0
Metal Craft,Beads,897,973,48.6,3.2,1206.81,1532,1981.91,0.48,3661.81
Handmade Jewellery,Cane,1452,276,25.07,1.35,2739.35,3202,3805.2,0.35,4238.87
Metal Craft,Clay,584,774,31.03,2.3,391.29,473,610.36,0.55,2406.51
Bamboo Basket,Cotton,799,101,10.59,4.19,788.74,890,1044.88,0.24,1870.57
Handloom Saree,Clay,57,173,27.75,4.02,2720.73,3314,3646.99,0.85,2718.48
Handmade Jewellery,Beads,1085,688,42.71,3.15,3133.67,3744,4325.72,0.43,4796.93
Pottery,Cane,835,987,22.65,1.54,3371.77,3861,4129.17,0.48,4921.16
Cane Furniture,Beads,1467,77,21.62,4.23,1732.14,1830,2129.16,0.65,3297.97
Metal Craft,Silk,1093,472,44.9,0.49,169.17,220,243.32,0.77,2616.29
Pottery,Clay,320,1126,24.61,3.48,2588.17,2967,3625.35,0.23,3904.39
Bamboo Basket,Cotton,929,442,43.32,2.12,972.38,1044,1238.57,0.74,2782.82
Handmade Jewellery,Clay,144,589,34.54,4.18,496.84,658,843.26,0.99,1841.92
Pottery,Cane,178,556,27.26,2.04,552.75,727,766.25,0.7,1745.91
Embroidered Cloth,Cane,369,107,10.59,1.69,167.68,190,201.11,0.5,1090.3
Handmade Jewellery,Clay,886,574,21.72,3.61,750.46,884,1097.87,0.78,2813.37
Handmade Jewellery,Beads,571,154,18.36,2.28,1730.35,2085,2624.8,0.98,2417.19
Pottery,Bamboo,1010,113,37.84,0.93,1894.58,2082,2629.05,0.41,2889.67
Metal Craft,Silk,1111,231,59.3,4.76,241.23,275,342.33,0.33,2448.98
Handloom Saree,Jute,182,1061,42.0,0.68,713.73,860,986.8,0.64,2535.98
Terracotta,Terracotta,191,1053,23.0,1.8,2656.85,2854,3156.83,0.75,3613.28
Cane Furniture,Clay,389,915,13.5,1.25,2256.02,2899,3724.88,0.48,3515.03
Cane Furniture,Cane,1003,177,11.79,4.49,3066.27,3501,3681.95,0.99,3921.06
Pottery,Bamboo,1124,858,34.06,3.3,1131.96,1357,1607.3,0.24,3562.28
Bamboo Basket,Cotton,864,432,41.4,3.71,564.34,639,781.59,0.74,2565.64
Embroidered Cloth,Brass,1457,368,10.44,2.79,1139.6,1364,1550.24,0.51,3355.21
Embroidered Cloth,Bamboo,379,105,42.3,4.03,3268.45,3993,4947.37,0.38,3318.87
Wooden Craft,Terracotta,1135,1004,51.68,2.16,2893.8,3779,4015.8,0.51,5388.16
Pottery,Silk,1452,368,14.09,3.17,2387.68,2920,3148.99,0.91,4443.87
Embroidered Cloth,Terracotta,637,1012,22.47,2.25,1359.45,1602,2017.69,0.92,3555.3
Terracotta,Terracotta,407,785,16.15,0.34,3117.18,3999,4619.52,0.33,3997.49
Handmade Jewellery,Clay,1107,271,13.23,3.96,3019.48,3561,4586.95,0.4,4082.59
Cane Furniture,Jute,631,395,22.41,0.77,2231.32,2444,2673.21,0.96,3008.25
Jute Bag,Beads,993,644,21.51,3.73,2846.31,3067,3870.01,0.29,4143.29
Cane Furniture,Cane,865,152,13.2,1.95,160.73,208,232.09,0.61,1668.09
Wooden Craft,Cotton,231,120,26.43,0.58,1160.96,1465,1792.16,0.86,1669.57
Wooden Craft,Brass,1234,663,59.16,4.95,3522.54,3843,4767.8,0.86,5286.93
Terracotta,Bamboo,369,1081,33.79,4.92,727.34,928,1202.38,0.59,2837.64
Handmade Jewellery,Cane,321,1173,50.99,2.79,2091.06,2491,3076.17,1.0,4047.0
Wooden Craft,Silk,752,932,32.75,2.29,1876.99,2180,2533.92,0.35,3627.58
Terracotta,Jute,1099,1172,27.65,2.89,802.54,1036,1090.73,0.74,3908.27
Terracotta,Cotton,769,740,31.26,2.03,244.05,259,295.93,0.36,2309.18
Jute Bag,Jute,676,119,48.55,4.53,2108.91,2294,2929.99,0.94,2924.86
Wooden Craft,Cotton,545,1111,27.71,3.69,2035.18,2685,2972.13,0.92,4261.04
Bamboo Basket,Terracotta,561,153,6.97,2.17,1466.27,1732,1956.41,0.68,2153.05
Cane Furniture,Bamboo,966,815,42.75,1.31,2257.37,2784,2941.18,0.25,4322.71
Handloom Saree,Beads,987,702,12.82,2.65,2527.99,3065,3418.23,0.25,4135.86
Bamboo Basket,Silk,120,718,57.94,1.43,2597.43,3081,3430.04,0.38,3331.99
Cane Furniture,Clay,1001,229,25.77,2.15,1542.5,1926,2219.18,0.89,3128.48
Jute Bag,Wood,1325,640,49.79,0.65,1919.37,2485,2996.72,0.75,4203.32
Bamboo Basket,Jute,260,220,56.89,4.32,500.13,539,644.05,0.45,1363.5
Pottery,Bamboo,706,877,57.39,4.5,598.16,655,815.68,0.61,2917.0
Handmade Jewellery,Wood,1152,293,23.03,4.4,2138.88,2797,3606.2,0.37,3705.9
Handmade Jewellery,Terracotta,300,261,7.91,1.54,1274.11,1345,1566.1,0.95,1873.04
Cane Furniture,Terracotta,1219,789,58.8,2.96,2213.83,2353,2646.88,0.88,4545.26
Pottery,Terracotta,84,479,33.81,3.47,385.21,450,563.04,0.78,1479.07
Pottery,Jute,183,710,57.15,0.15,972.46,1212,1508.58,0.91,2517.37
Wooden Craft,Terracotta,60,724,49.85,0.52,966.44,1122,1377.13,0.44,2051.95
Embroidered Cloth,Silk,827,710,43.67,2.86,1121.33,1360,1566.28,0.5,3077.7
Metal Craft,Bamboo,706,930,6.58,2.41,139.75,186,230.56,0.32,2581.3
Jute Bag,Beads,1008,204,16.98,3.09,2996.16,3825,4286.67,0.52,3986.12
